"userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language"
"jfHc+PR1RAcWZbVeokGvHkppdJhVd1URHnz981PHHVc=","jfHc+PR1RAcWZbVeokGvHkppdJhVd1URHnz981PHHVc=","jfHc+PR1RAcWZbVeokGvHkppdJhVd1URHnz981PHHVc=","African ","African my pride. 
Power To The People 💪🏾💪🏿","","1771","1829","2019-07-17","en"
"BQSd6HG5pCEX3Vbw28UJIbW6cDXtu4bgejnAfZmnlKc=","BQSd6HG5pCEX3Vbw28UJIbW6cDXtu4bgejnAfZmnlKc=","BQSd6HG5pCEX3Vbw28UJIbW6cDXtu4bgejnAfZmnlKc=","","Racism springs from Ignorance 
Say No To Racism.","","60","76","2019-07-08","en"
"wIC9Jo2WdkBTapeMXo6zeX57hvpxs4IJqQU0OMJfvM=","wIC9Jo2WdkBTapeMXo6zeX57hvpxs4IJqQU0OMJfvM=","wIC9Jo2WdkBTapeMXo6zeX57hvpxs4IJqQU0OMJfvM=","","","","0","25","2019-08-26","en"
"MrAqJYr2xk9TuxpWT7HvbRTiH02zJ4i4RKeWaGP+31A=","MrAqJYr2xk9TuxpWT7HvbRTiH02zJ4i4RKeWaGP+31A=","MrAqJYr2xk9TuxpWT7HvbRTiH02zJ4i4RKeWaGP+31A=","Accra, Ghana","Black woman passionate about my root 
#BlackLivesMatter #PoliceBrutality #Racism #RacialProfiling #AllLivesMatter #RacialEquality","","4584","4641","2019-07-13","en"
"a735pdxuZ9tyTJOsgpvGWXKU+BZj9UXhjmXRtvPKi0=","a735pdxuZ9tyTJOsgpvGWXKU+BZj9UXhjmXRtvPKi0=","a735pdxuZ9tyTJOsgpvGWXKU+BZj9UXhjmXRtvPKi0=","Ghana","I stand for truth and project the image of humanity.","","98","186","2019-07-05","en"
"jABJdRs3DsnvqL1EboMltuFxbycEVwNGySXzeIKcv4=","jABJdRs3DsnvqL1EboMltuFxbycEVwNGySXzeIKcv4=","jABJdRs3DsnvqL1EboMltuFxbycEVwNGySXzeIKcv4=","","Campaigning To End All Forms Of Violence Against Women❗
Sharing Stories And Solutions To Improve Life For Women x Girls👭
Equality For All","","1811","4354","2019-07-16","en"
"aRM5dH4TX8EPW5RUf0UsslawRqL4O9hnfbdDhO8sY=","aRM5dH4TX8EPW5RUf0UsslawRqL4O9hnfbdDhO8sY=","aRM5dH4TX8EPW5RUf0UsslawRqL4O9hnfbdDhO8sY=","somewhere in The World","man utd Glory Glory Music Art Lifestyle. You Dream I Act","","6","127","2019-07-27","en"
"PvMtU8hSwydfwGdw7yuVC5yBPXjIE7+pZi0m0X7UtQ=","PvMtU8hSwydfwGdw7yuVC5yBPXjIE7+pZi0m0X7UtQ=","PvMtU8hSwydfwGdw7yuVC5yBPXjIE7+pZi0m0X7UtQ=","Everywhere ","We are creating awareness to eliminate barriers affecting the rights of Queer( Lesbians, bisexuals and Trans)Women through Social Media activism Globally.","","1251","1168","2019-09-01","en"
"Mb41Eha8m3pQ2Wjmdzm1Jh+jitjvaTD7gtoyGH3bDTM=","Mb41Eha8m3pQ2Wjmdzm1Jh+jitjvaTD7gtoyGH3bDTM=","Mb41Eha8m3pQ2Wjmdzm1Jh+jitjvaTD7gtoyGH3bDTM=","","Beauty in Africans","","13","71","2020-02-11","en"
"pWAgwQT6pZlN8cd5rhH17NF9SMU3t1oqVJiTxTjCrM=","pWAgwQT6pZlN8cd5rhH17NF9SMU3t1oqVJiTxTjCrM=","pWAgwQT6pZlN8cd5rhH17NF9SMU3t1oqVJiTxTjCrM=","","Passionate about my black roots","","66","112","2019-08-27","en"
