"userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language"
"XpT328jUSYUJJM4Bt0HmKSJ8d8rJWgkBkQhdff62skE=","XpT328jUSYUJJM4Bt0HmKSJ8d8rJWgkBkQhdff62skE=","XpT328jUSYUJJM4Bt0HmKSJ8d8rJWgkBkQhdff62skE=","","This is my main account and will not change","","249","14","2018-06-25","en"
"RkdRtUueFWAhAJlkiuZcIX9BZZSr6qeq2KElPD6FUF4=","RkdRtUueFWAhAJlkiuZcIX9BZZSr6qeq2KElPD6FUF4=","RkdRtUueFWAhAJlkiuZcIX9BZZSr6qeq2KElPD6FUF4=","Worldwide","Equality ,freedom and friendship will break the barriers, no matter the color or race we're all human.","https://t.co/WchN0iqDZf","39","156","2020-05-22","en"
"1273528131861782528","william jones","78williamjones","Brooklyn New York","political analyst and journalist #FBR 
father of two, husband to love of my life Anna","","5937","2130","2020-06-18","en"
"4RHQs48X7Mzwe4HTmThSxmpMK3035MEWqXo3cnAtaFs=","4RHQs48X7Mzwe4HTmThSxmpMK3035MEWqXo3cnAtaFs=","4RHQs48X7Mzwe4HTmThSxmpMK3035MEWqXo3cnAtaFs=","","Husband, veteran, writer, Democrat, The harder you work for something, the greater you'll feel when you achieve it.","","3","10","2020-08-31","en"
"mnwYBr42DjwqBE0R11biII59vMK71o3AGXtfD+SW0=","mnwYBr42DjwqBE0R11biII59vMK71o3AGXtfD+SW0=","mnwYBr42DjwqBE0R11biII59vMK71o3AGXtfD+SW0=","","Amanda Jackson is a passenger aircraft engine specialist","","6","112","2020-09-10","en"
"z3nCVBEHiIbcBhhxU2mOz5iWK4a7sUdGmRSPFM16G0=","z3nCVBEHiIbcBhhxU2mOz5iWK4a7sUdGmRSPFM16G0=","z3nCVBEHiIbcBhhxU2mOz5iWK4a7sUdGmRSPFM16G0=","","in God we Trust","","745","794","2019-09-04","en"
"fIdJIqtetsws7PBAjYAWSEgoBouTObQED5oefo8Hxs=","fIdJIqtetsws7PBAjYAWSEgoBouTObQED5oefo8Hxs=","fIdJIqtetsws7PBAjYAWSEgoBouTObQED5oefo8Hxs=","","Si quieres algo que nunca tuviste, debes hacer algo que nunca hiciste","","408","1121","2020-08-20","en"
"aJMeGWlJ+cqDJcz02daTvgmzxcEEd4MkILBZbMkIxDA=","aJMeGWlJ+cqDJcz02daTvgmzxcEEd4MkILBZbMkIxDA=","aJMeGWlJ+cqDJcz02daTvgmzxcEEd4MkILBZbMkIxDA=","","","","0","0","2018-06-20","fa"
"G5aFOOmZbjBINo26j2+J68qHh4E1Y9JC0tFKiFc8=","G5aFOOmZbjBINo26j2+J68qHh4E1Y9JC0tFKiFc8=","G5aFOOmZbjBINo26j2+J68qHh4E1Y9JC0tFKiFc8=","","","","0","0","2020-06-22","en"
"+fwTi4Wv1fs5sua3wZXqtBWBMMAy5IKNd5euWlP8Kuk=","+fwTi4Wv1fs5sua3wZXqtBWBMMAy5IKNd5euWlP8Kuk=","+fwTi4Wv1fs5sua3wZXqtBWBMMAy5IKNd5euWlP8Kuk=","مشهد","‏در کمتر از ۲۴ ساعت از فعالیتم در توییتر حسابم دچار محدودیت شدید شد . اینم از آزادی بیان صهیونیستی غربی . خاک تو سر تمدن و مدرنیته غربی . یک مشت موش موذی هستند","https://t.co/CYVvMNEYEj","2","27","2017-01-20","fa"
