"tweetid","userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language","tweet_language","tweet_text","tweet_time","tweet_client_name","in_reply_to_userid","in_reply_to_tweetid","quoted_tweet_tweetid","is_retweet","retweet_userid","retweet_tweetid","latitude","longitude","quote_count","reply_count","like_count","retweet_count","hashtags","urls","user_mentions"
"897507435526594560","3480015072","昶宇文化","seo_yea_ji","","一群有理想的年轻人聚在一起，以视频反映生活，记录生活。
A group of young men with dreams come together to video life and record what we've seen.","","5379","361","2015-09-07","zh-cn","en","@prkrosseanne @WORLDINTLrp yes i'm busy with my new drama. Have you watch it?","2017-08-15 17:17","Twitter for Android","887478890599374848","8.975026594139177e+17","","False","","","absent","absent","0","1","0","0","[]","[]","['887478890599374848', '1958535937']"
"820948920008220673","3480015072","昶宇文化","seo_yea_ji","","一群有理想的年轻人聚在一起，以视频反映生活，记录生活。
A group of young men with dreams come together to video life and record what we've seen.","","5379","361","2015-09-07","zh-cn","in","@raziel__rz @venus__vn aku mau fc in Mackenzie Foy aja 😆😆 kmu siapa hayo","2017-01-16 11:00","Twitter for Android","725231735240192000","8.209485815782072e+17","","False","","","absent","absent","0","1","0","0","[]","[]","['725231735240192000', '725202517571698688']"
"837929069450678272","3480015072","昶宇文化","seo_yea_ji","","一群有理想的年轻人聚在一起，以视频反映生活，记录生活。
A group of young men with dreams come together to video life and record what we've seen.","","5379","361","2015-09-07","zh-cn","in","@estherzxel perutnya :(","2017-03-04 07:33","Twitter for Android","725231735240192000","8.375869245502751e+17","","False","","","absent","absent","0","0","0","0","[]","[]","['725231735240192000']"
"820945348717735936","3480015072","昶宇文化","seo_yea_ji","","一群有理想的年轻人聚在一起，以视频反映生活，记录生活。
A group of young men with dreams come together to video life and record what we've seen.","","5379","361","2015-09-07","zh-cn","in","@raziel__rz akun gm aku aja bingung mau jd siapa :(( mau western atau korea nih??","2017-01-16 10:46","Twitter for Android","725231735240192000","8.209445273429893e+17","","False","","","absent","absent","0","1","0","0","[]","[]","['725231735240192000']"
"834043392396898304","3480015072","昶宇文化","seo_yea_ji","","一群有理想的年轻人聚在一起，以视频反映生活，记录生活。
A group of young men with dreams come together to video life and record what we've seen.","","5379","361","2015-09-07","zh-cn","in","@raziel__rz aku kudu piye sih sist biar aku laku :(","2017-02-21 14:13","Twitter for Android","725231735240192000","8.340419862607012e+17","","False","","","absent","absent","0","1","0","0","[]","[]","['725231735240192000']"
"896693189133737984","3480015072","昶宇文化","seo_yea_ji","","一群有理想的年轻人聚在一起，以视频反映生活，记录生活。
A group of young men with dreams come together to video life and record what we've seen.","","5379","361","2015-09-07","zh-cn","en","@NAY0UNGIM Yes you're right. Hello😄","2017-08-13 11:21","Twitter for Android","849212241165418497","8.966856855113073e+17","","False","","","absent","absent","0","1","0","0","[]","[]","['849212241165418497']"
"820947306748866565","3480015072","昶宇文化","seo_yea_ji","","一群有理想的年轻人聚在一起，以视频反映生活，记录生活。
A group of young men with dreams come together to video life and record what we've seen.","","5379","361","2015-09-07","zh-cn","in","@raziel__rz belum aku buka tau :( hahaha. Western ya mikir dulu ya","2017-01-16 10:54","Twitter for Android","725231735240192000","8.209467947292221e+17","","False","","","absent","absent","0","1","0","0","[]","[]","['725231735240192000']"
"857440879853813760","3480015072","昶宇文化","seo_yea_ji","","一群有理想的年轻人聚在一起，以视频反映生活，记录生活。
A group of young men with dreams come together to video life and record what we've seen.","","5379","361","2015-09-07","zh-cn","en","@BebsTorno @hightaec can't wait untill august😂","2017-04-27 03:46","Twitter for Android","827393638820782080","8.574358085543404e+17","","False","","","absent","absent","0","0","1","0","[]","[]","['827393638820782080', '1052440140']"
"820948066161160193","3480015072","昶宇文化","seo_yea_ji","","一群有理想的年轻人聚在一起，以视频反映生活，记录生活。
A group of young men with dreams come together to video life and record what we've seen.","","5379","361","2015-09-07","zh-cn","in","@raziel__rz iya belum masih baru masih bingung :'( @venus__vn dikasih admin nya nih","2017-01-16 10:57","Twitter for Android","725231735240192000","8.209474218195968e+17","","False","","","absent","absent","0","1","0","0","[]","[]","['725231735240192000', '725202517571698688']"
"819855708447330306","3480015072","昶宇文化","seo_yea_ji","","一群有理想的年轻人聚在一起，以视频反映生活，记录生活。
A group of young men with dreams come together to video life and record what we've seen.","","5379","361","2015-09-07","zh-cn","in","@k_youngkwng @GLOBALERPE i know, ga perlu bukti tau😂😂😂","2017-01-13 10:36","Twitter for Android","2422018951","8.198539256206623e+17","","False","","","absent","absent","0","0","0","0","[]","[]","['2422018951', '739729620166180864']"
"900338913218146304","3480015072","昶宇文化","seo_yea_ji","","一群有理想的年轻人聚在一起，以视频反映生活，记录生活。
A group of young men with dreams come together to video life and record what we've seen.","","5379","361","2015-09-07","zh-cn","en","@Keem_Sejeong Don't cry when your watch it , ok?","2017-08-23 12:48","Twitter for Android","968028847","9.003246696428872e+17","","False","","","absent","absent","0","0","0","0","[]","[]","['968028847']"
"900763386119507969","3480015072","昶宇文化","seo_yea_ji","","一群有理想的年轻人聚在一起，以视频反映生活，记录生活。
A group of young men with dreams come together to video life and record what we've seen.","","5379","361","2015-09-07","zh-cn","in","@hhyoujoo Sini aku semprot air suci dulu?","2017-08-24 16:55","Twitter for Android","859813337625878529","9.00756511789523e+17","","False","","","absent","absent","0","0","0","0","[]","[]","['859813337625878529']"
"821969934049624064","3480015072","昶宇文化","seo_yea_ji","","一群有理想的年轻人聚在一起，以视频反映生活，记录生活。
A group of young men with dreams come together to video life and record what we've seen.","","5379","361","2015-09-07","zh-cn","in","@aptrpn Ah masa dibales lewat akun ini sih","2017-01-19 06:37","Twitter for Android","726746121834369025","8.219691006288364e+17","","False","","","absent","absent","0","1","0","0","[]","[]","['726746121834369025']"
